Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
OXXO AFE REFUGIO,CALI,1222847,2024/06/11,ACTIVA,2025/03/27,2025,3.3980477,-76.5499169,"Cl. 3 #2C-46, La Cascada, Cali, Valle del Cauca, Colombia"
OXXO AGUSTIN,BUCARAMANGA,9000429189,2019/04/05,ACTIVA,2025/03/25,2025,7.119828800000001,-73.1206206,"Cl 36 #22-16, Bolívar, Bucaramanga, Santander, Colombia"
OXXO ALAMEDA 13,BOGOTA,3662216,2023/04/03,ACTIVA,2025/03/20,2025,4.6104939,-74.0730969,"Kr 13 #23-06, Bogotá, Colombia"
OXXO ALAMEDA DE UNICENTRO,TUNJA,220595,2024/04/13,ACTIVA,2025/03/27,2025,5.5479192,-73.3464757,"Av Universitaria #42A-60, Tunja, Boyacá, Colombia"
OXXO ALAMOS INDUSTRIAL,BOGOTA,3709875,2023/07/26,ACTIVA,2025/03/20,2025,4.6900534,-74.11754619999999,"Tv. 93 #64-41, Bogotá, Colombia"
OXXO ALAMOS NORTE,BOGOTA,3601236,2022/10/27,ACTIVA,2025/03/20,2025,4.7044049,-74.1169594,"Cl 72 #100b-28, Bogotá, Colombia"
OXXO ALARCON,BUCARAMANGA,9000637331,2023/01/23,CANCELADA,2024/03/26,2024,7.135782900000001,-73.12775719999999,"Cra. 19 #1074, Bucaramanga, Santander, Colombia"
OXXO ALCABAMA CIIEN,BOGOTA,3948039,2025/04/08,ACTIVA,2025/04/08,2025,4.7228498,-74.05179799999999,"Cra. 45 #137-61, Bogotá, Colombia"
OXXO ALCALA,BOGOTA,3723917,2023/08/30,ACTIVA,2025/03/20,2025,4.7228498,-74.05179799999999,"Cra. 45 #137-61, Bogotá, Colombia"
OXXO ALDEA COMERCIAL,BUCARAMANGA,9000667845,2024/03/08,ACTIVA,2025/03/25,2025,7.023589100000001,-73.0825859,"2WF8+CX, Piedecuesta, Loma Mesa de Ruitoque, Piedecuesta, Santander, Colombia"
OXXO ALFONSO LOPEZ,BOGOTA,3846649,2024/07/17,ACTIVA,2025/03/20,2025,4.641664899999999,-74.07716479999999,"Cl. 52a #27A-63, Bogotá, Colombia"
OXXO ALMACENTRO,MEDELLIN PARA ANTIOQUIA,79854802,2024/07/04,ACTIVA,2025/03/27,2025,6.2356984,-75.5703844,"Centro Comercial Almacentro Torre Norte, Cra. 43A #34-95 Consultorio 707, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
OXXO ALONSO CALLE 19,BUCARAMANGA,9000658157,2023/10/06,ACTIVA,2025/03/25,2025,7.1312864,-73.1151111,"Cl. 19 #32-74, Bucaramanga, Santander, Colombia"
OXXO ALSACIA,BOGOTA,3467697,2022/01/13,ACTIVA,2025/03/20,2025,4.6481625,-74.1349474,"401A07_Ciudad, Bogotá, Colombia"
OXXO ALTA SUIZA,MANIZALES,238877,2024/07/23,ACTIVA,2025/03/27,2025,5.049341699999999,-75.47948889999999,"Cra. 19A #74A-25, Manizales, Caldas, Colombia"
OXXO ALTAVISTA,ARMENIA,277079,2024/02/19,ACTIVA,2025/03/27,2025,4.5326872,-75.6720086,"Cra. 12 #18-30, Armenia, Quindío, Colombia"
OXXO ALTO PRADO 49C,BARRANQUILLA,902249,2024/10/24,ACTIVA,2025/03/27,2025,11.0005754,-74.8082884,"Cra. 50 #76-10, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
OXXO ALTO PRADO 76,BARRANQUILLA,901699,2024/10/15,ACTIVA,2025/03/27,2025,11.0005754,-74.8082884,"Cra. 50 #76-10, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
OXXO ALTOS DE CABECERA 2,BUCARAMANGA,9000664558,2024/02/01,ACTIVA,2025/03/25,2025,7.1212195,-73.1101449,"Cl. 42 #35-06, Cabecera del llano, Bucaramanga, Santander, Colombia"
