Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado
TIENDA D1 TERMINAL BUCARAMANGA,BUCARAMANGA,9000624394,2022/07/12,ACTIVA,2025/03/28,2025
TIENDA D1 TEUSAQUILLO EDITORIAL,BOGOTA,2736538,2016/09/23,ACTIVA,2025/03/07,2025
TIENDA D1 TIBABITA,BOGOTA,3714609,2023/08/08,ACTIVA,2025/03/07,2025
TIENDA D1 TIBANA,BOGOTA,3199702,2020/01/03,ACTIVA,2025/03/07,2025
TIENDA D1 TIBANA,TUNJA,191152,2021/05/12,ACTIVA,2025/02/28,2025
TIENDA D1 TIBANA CR 38,BOGOTA,3748682,2023/11/01,ACTIVA,2025/03/07,2025
TIENDA D1 TIBASOSA,SOGAMOSO,77597,2019/02/15,ACTIVA,2025/03/04,2025
TIENDA D1 TIENDITAS,CUCUTA,452069,2024/01/15,ACTIVA,2025/03/19,2025
TIENDA D1 TIERRA ALTA,CUCUTA,462568,2024/08/01,ACTIVA,2025/03/19,2025
TIENDA D1 TIERRA NEGRA,TUNJA,214031,2023/08/03,ACTIVA,2025/02/28,2025
TIENDA D1 TIMBIO,CAUCA,184796,2018/09/26,ACTIVA,2025/03/10,2025
TIENDA D1 TOCA,TUNJA,167620,2019/02/15,ACTIVA,2025/02/28,2025
TIENDA D1 TOCAIMA CENTRO,GIRARDOT,89735,2018/07/17,ACTIVA,2025/03/17,2025
TIENDA D1 TOCANCIPA,BOGOTA,2341384,2013/07/15,ACTIVA,2025/03/07,2025
TIENDA D1 TOCANCIPÁ EL PORTAL,BOGOTA,3499576,2022/03/16,ACTIVA,2025/03/07,2025
TIENDA D1 TOCANCIPÁ PLAZA,BOGOTA,3568656,2022/08/12,ACTIVA,2025/03/07,2025
TIENDA D1 TOL FLANDES QUINTAS,SUR Y ORIENTE DEL TOLIMA,129061,2025/04/09,ACTIVA,2025/04/09,2025
TIENDA D1 TOL LERIDA CENTRO,HONDA,69923,2020/10/06,ACTIVA,2025/03/18,2025
TIENDA D1 TOL MARIQUITA DORADO,HONDA,81952,2024/04/24,ACTIVA,2025/03/18,2025
TIENDA D1 TOL NATAGAIMA,SUR Y ORIENTE DEL TOLIMA,105986,2021/01/14,ACTIVA,2025/03/21,2025
TIENDA D1 TOL PLANADAS GALERIA,SUR Y ORIENTE DEL TOLIMA,123144,2024/02/12,ACTIVA,2025/03/21,2025
TIENDA D1 TOLIMA FLANDES,SUR Y ORIENTE DEL TOLIMA,113601,2022/03/10,ACTIVA,2025/03/18,2025
TIENDA D1 TOLIMA PURIFICACION,SUR Y ORIENTE DEL TOLIMA,120587,2023/06/09,ACTIVA,2025/03/21,2025
TIENDA D1 TOLIMA SALDAÑA,SUR Y ORIENTE DEL TOLIMA,113876,2022/03/28,ACTIVA,2025/03/21,2025
TIENDA D1 TORO,CARTAGO,77095,2013/09/16,ACTIVA,2025/03/20,2025
TIENDA D1 TORRE CENTRAL,BOGOTA,3911032,2025/01/27,ACTIVA,2025/01/27,2025
TIENDA D1 TORRE IMPERIAL,BOGOTA,3527805,2022/05/12,ACTIVA,2025/03/07,2025
TIENDA D1 TORRES DE BICENTENARIO FLORIDABLANCA,BUCARAMANGA,9000624393,2022/07/12,ACTIVA,2025/03/28,2025
TIENDA D1 TRAPICHE,CUCUTA,393071,2021/04/19,ACTIVA,2025/03/19,2025
TIENDA D1 TRES ESQUINAS,BUCARAMANGA,9000431663,2019/05/07,ACTIVA,2025/03/21,2025
TIENDA D1 TRIGAL,CUCUTA,362339,2019/12/03,ACTIVA,2025/03/27,2025
TIENDA D1 TRINIDAD,CASANARE,160639,2021/11/19,ACTIVA,2025/03/13,2025
TIENDA D1 TRONCAL CAUCASIA,MEDELLIN PARA ANTIOQUIA,70258302,2020/05/20,ACTIVA,2025/03/21,2025
TIENDA D1 TULUA AGUACLARA,TULUA,104374,2021/03/05,ACTIVA,2025/03/10,2025
TIENDA D1 TULUA CALLE 25,TULUA,85684,2016/04/13,ACTIVA,2025/03/10,2025
TIENDA D1 TULUA FARFAN,TULUA,112773,2023/06/16,ACTIVA,2025/03/10,2025
TIENDA D1 TULUA FRANCISCANO,TULUA,76916,2013/07/18,ACTIVA,2025/03/10,2025
TIENDA D1 TULUA GALERIA,TULUA,113525,2023/09/19,ACTIVA,2025/03/10,2025
TIENDA D1 TULUA PALOBONITO,TULUA,75724,2013/04/16,ACTIVA,2025/03/10,2025
TIENDA D1 TULUA SANTA INES,TULUA,91555,2017/11/10,ACTIVA,2025/03/10,2025
TIENDA D1 TULUA TERMINAL,TULUA,76919,2013/07/18,CANCELADA,2013/12/17,2013
TIENDA D1 TUMACO CALLE MARQUEZ,TUMACO,46123,2021/11/09,ACTIVA,2025/03/11,2025
TIENDA D1 TUMACO LA EXPORTADORA,TUMACO,44600,2021/03/16,ACTIVA,2025/03/11,2025
TIENDA D1 TUMACO MIRAMAR,TUMACO,44803,2021/04/13,ACTIVA,2025/03/11,2025
TIENDA D1 TUMACO NUEVA CREACION,TUMACO,44599,2021/03/16,ACTIVA,2025/03/11,2025
TIENDA D1 TUNJA ALTAMIRA,TUNJA,147319,2017/03/06,ACTIVA,2025/02/28,2025
TIENDA D1 TUNJA ANTARES,TUNJA,156200,2018/02/08,ACTIVA,2025/02/28,2025
TIENDA D1 TUNJA BACHUÉ,TUNJA,206672,2022/11/10,ACTIVA,2025/02/28,2025
TIENDA D1 TUNJA CENTRO,TUNJA,154937,2017/12/20,ACTIVA,2025/02/28,2025
TIENDA D1 TUNJA EL DORADO,TUNJA,152404,2017/08/31,CANCELADA,2018/03/22,2018
TIENDA D1 TUNJA FLORIDA,TUNJA,213224,2023/07/06,CANCELADA,2024/02/13,2024
TIENDA D1 TUNJA JOSE JOAQUIN CAMACHO,TUNJA,152401,2017/08/31,CANCELADA,2018/03/22,2018
TIENDA D1 TUQUERRES,PASTO,230427,2023/06/22,ACTIVA,2025/03/11,2025
TIENDA D1 TURBACO LA ESPERANZA,CARTAGENA,46244902,2021/10/14,ACTIVA,2025/03/25,2025
TIENDA D1 TURBACO PRADO VERDE,CARTAGENA,47004102,2022/07/19,ACTIVA,2025/03/25,2025
TIENDA D1 TURBACO RESERVA DEL VALLE,CARTAGENA,49298602,2025/04/24,ACTIVA,2025/04/24,2025
TIENDA D1 TURBACO TRONCAL,CARTAGENA,41976202,2019/07/15,ACTIVA,2025/03/25,2025
TIENDA D1 TURBO BARRIO OBRERO,URABA,93126,2019/03/18,CANCELADA,2020/06/23,2020
TIENDA D1 TURBO CENTRO,URABA,95152,2019/07/30,ACTIVA,2025/03/18,2025
TIENDA D1 TURBO CURRULAO,URABA,93125,2019/03/18,ACTIVA,2025/03/18,2025
TIENDA D1 TURBO ESTADIO,URABA,110694,2022/08/10,ACTIVA,2025/03/18,2025
