Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
TIENDA D1 LA ISLA,BUCARAMANGA,9000399685,2018/03/20,ACTIVA,2025/03/19,2025,10.9894494,-74.9536148,"Puerto Colombia, Atlántico, Colombia"
TIENDA D1 LA JAGUA CESAR,VALLEDUPAR,185858,2021/11/09,ACTIVA,2025/03/25,2025,9.5656765,-73.3300117,"a 1f-267, Dg. 1 #1f109, La Jagüa de Ibirico, La Jagua de Ibirico, Cesar, Colombia"
TIENDA D1 LA LIBERTAD,BARRANCABERMEJA,114458,2018/11/27,ACTIVA,2025/03/19,2025,4.7408192,-74.06415779999999,"Cra. 59 #152B - 79, Bogotá, Colombia"
TIENDA D1 LA LIBERTAD,CUCUTA,350960,2019/05/28,ACTIVA,2025/03/19,2025,4.7408192,-74.06415779999999,"Cra. 59 #152B - 79, Bogotá, Colombia"
TIENDA D1 LA LOMA,MEDELLIN PARA ANTIOQUIA,70889902,2020/09/22,ACTIVA,2025/03/21,2025,9.6169546,-73.6029661,"J98W+JR, La Loma, El Paso, Cesar, Colombia"
TIENDA D1 LA MANSION,MEDELLIN PARA ANTIOQUIA,68711302,2019/07/23,ACTIVA,2025/03/21,2025,6.2566888,-75.5566229,"Cl. 63A #42 - 67, Medellín, Villa Hermosa, Medellín, Antioquia, Colombia"
TIENDA D1 LA MARIPOSA,BOGOTA,3950186,2025/04/14,ACTIVA,2025/04/14,2025,4.6928877,-74.0506765,"Cra 19 #106 08, Bogotá, Colombia"
TIENDA D1 LA MERCED NORTE,BOGOTA,2838485,2017/07/10,ACTIVA,2025/03/07,2025,4.6657975,-74.07271879999999,"Cra. 29A #71a-47, Bogotá, Colombia"
TIENDA D1 LA MESA ATALAYA,GIRARDOT,116060,2023/10/09,ACTIVA,2025/03/17,2025,4.6400705,-74.4479277,"Dg. 4 #4-82, Atalaya, |, La Mesa, Cundinamarca, Colombia"
TIENDA D1 LA MESA CENTRO,GIRARDOT,83058,2017/02/20,ACTIVA,2025/03/17,2025,4.62376,-74.47077159999999,"La Mesa-Anapoima, La Mesa, Cundinamarca, Colombia"
TIENDA D1 LA MESA EL RECREO,GIRARDOT,106932,2022/01/17,CANCELADA,2022/01/17,2022,4.62376,-74.47077159999999,"La Mesa-Anapoima, La Mesa, Cundinamarca, Colombia"
TIENDA D1 LA MESA VARIANTE,GIRARDOT,83435,2017/03/13,ACTIVA,2025/03/17,2025,4.62376,-74.47077159999999,"La Mesa-Anapoima, La Mesa, Cundinamarca, Colombia"
TIENDA D1 LA PAILA,TULUA,116144,2024/08/12,ACTIVA,2025/03/19,2025,4.317595499999999,-76.0709643,"Cl. 10 #1185, La Paila, Zarzal, Valle del Cauca, Colombia"
TIENDA D1 LA PALMA,FACATATIVA,153030,2021/06/04,ACTIVA,2025/03/10,2025,5.3612698,-74.3893813,"Cl. 3 #4-47, La Palma, Cundinamarca, Colombia"
TIENDA D1 LA PALMITA,CUCUTA,370028,2020/04/23,ACTIVA,2025/03/03,2025,7.8245717,-72.47273899999999,"Cl. 15 #7-56, Villa Del Rosario, Norte de Santander, Colombia"
TIENDA D1 LA PARADA,CUCUTA,356608,2019/08/26,ACTIVA,2025/03/27,2025,7.8210147,-72.4561471,"70, Villa Del Rosario, Norte de Santander, Colombia"
TIENDA D1 LA PAZ,VALLEDUPAR,167248,2019/12/26,ACTIVA,2025/03/25,2025,10.3861032,-73.1709429,"La Paz, Cesar, Colombia"
TIENDA D1 LA PRADERA,MEDELLIN PARA ANTIOQUIA,68234502,2019/05/13,ACTIVA,2025/03/21,2025,4.7393766,-74.03019379999999,"Cra. 8g #162-40, Bogotá, Colombia"
TIENDA D1 LA PRADERA DOSQUEBRADAS,DOSQUEBRADAS,39082,2012/04/13,ACTIVA,2025/03/19,2025,4.8259314,-75.6757069,"Cra. 21 #23-33, Dosquebradas, Risaralda, Colombia"
TIENDA D1 LA PRIMERA,BOGOTA,3581302,2022/09/09,ACTIVA,2025/03/07,2025,4.7483333,-74.0582385,"Cra. 56 #165b-2, Bogotá, Colombia"
TIENDA D1 LA QUINTA,BOGOTA,3551508,2022/07/06,ACTIVA,2025/03/07,2025,4.6368718,-74.096788,"a 48-64, Ac. 24 #482, Bogotá, Colombia"
