Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion,latitud,longitud,direccion
TIENDA ARA 588 MAGDALENA - EL DIFICIL,SANTA MARTA PARA EL MAGDALENA,218061,2019/06/25,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 623 GAIRA SANTA MARTA,SANTA MARTA PARA EL MAGDALENA,220972,2019/09/13,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 625 SANTA ROSA LA HERMOSA,SANTA ROSA DE CABAL,37056,2019/12/11,ACTIVA,2025/03/20,2025,,,,,,
TIENDA ARA 0809 EL PIÑON CARRERA 3,SANTA MARTA PARA EL MAGDALENA,248999,2021/11/22,ACTIVA,2025/03/21,2025,11.2520735,-74.21002519999999,"Cra. 2 #7-46, Comuna 3, Santa Marta, Magdalena, Colombia",11.2520735,-74.21002519999999,"Cra. 2 #7-46, Comuna 3, Santa Marta, Magdalena, Colombia"
TIENDA ARA 1361 BOGOTA BARRIOS UNIDOS JORGE ELIECER GAITAN,BOGOTA,3867075,2024/09/06,ACTIVA,2025/03/20,2025,4.6743957,-74.0720157,"0000, Barrios Unidos, Bogotá, Colombia",4.6743957,-74.0720157,"0000, Barrios Unidos, Bogotá, Colombia"
TIENDA ARA 1338 SOLEDAD CUSULES,BARRANQUILLA,877300,2023/09/20,ACTIVA,2025/03/21,2025,10.9049817,-74.7953898,"08307, Soledad, Atlántico, Colombia",10.9049817,-74.7953898,"08307, Soledad, Atlántico, Colombia"
TIENDA ARA 0667 BOGOTA VICTORIA NORTE,BOGOTA,3198532,2019/12/19,ACTIVA,2025/03/20,2025,4.7320478,-74.0500892,"09, Auto. Norte #50, Bogotá, Colombia",4.7320478,-74.0500892,"09, Auto. Norte #50, Bogotá, Colombia"
TIENDA ARA 0199 COSTA AZUL SUBA,BOGOTA,2708109,2016/07/11,ACTIVA,2025/03/20,2025,4.7410215,-74.0969942,"103 C - 73, Cl. 139, Suba, Bogotá, Cundinamarca, Colombia",4.7410215,-74.0969942,"103 C - 73, Cl. 139, Suba, Bogotá, Cundinamarca, Colombia"
TIENDA ARA 1195 BOGOTA PUENTE ARANDA LA TRINIDAD,BOGOTA,3610705,2022/11/25,ACTIVA,2025/03/20,2025,4.6243865,-74.1159347,"11, Cl. 5a #58, Puente Aranda, Bogotá, Colombia",4.6243865,-74.1159347,"11, Cl. 5a #58, Puente Aranda, Bogotá, Colombia"
TIENDA ARA 0787 MOÑITOS CORDOBA,MONTERIA,190636,2021/08/19,ACTIVA,2025/03/20,2025,9.2456899,-76.1314996,"231001, Monitos, Córdoba, Colombia",9.2456899,-76.1314996,"231001, Monitos, Córdoba, Colombia"
TIENDA ARA 0303 ANAPOIMA,GIRARDOT,85752,2017/08/22,ACTIVA,2025/03/20,2025,4.3082326,-74.7988161,"252437, Dg. 8 #32 85, Girardot, Cundinamarca, Colombia",4.3082326,-74.7988161,"252437, Dg. 8 #32 85, Girardot, Cundinamarca, Colombia"
TIENDA ARA 0322 GIRARDOT CENTRO,GIRARDOT,85121,2017/07/10,ACTIVA,2025/03/20,2025,4.3082326,-74.7988161,"252437, Dg. 8 #32 85, Girardot, Cundinamarca, Colombia",4.3082326,-74.7988161,"252437, Dg. 8 #32 85, Girardot, Cundinamarca, Colombia"
TIENDA ARA 0353 EL COLEGIO CENTRO,GIRARDOT,87073,2017/12/01,CANCELADA,2018/03/14,2018,4.3082326,-74.7988161,"252437, Dg. 8 #32 85, Girardot, Cundinamarca, Colombia",4.3082326,-74.7988161,"252437, Dg. 8 #32 85, Girardot, Cundinamarca, Colombia"
TIENDA ARA 0424 GIRARDOT,GIRARDOT,88264,2018/03/14,ACTIVA,2025/03/20,2025,4.3082326,-74.7988161,"252437, Dg. 8 #32 85, Girardot, Cundinamarca, Colombia",4.3082326,-74.7988161,"252437, Dg. 8 #32 85, Girardot, Cundinamarca, Colombia"
TIENDA ARA 0458 LA MESA CALLE 8,GIRARDOT,89474,2018/06/20,ACTIVA,2025/03/20,2025,4.3082326,-74.7988161,"252437, Dg. 8 #32 85, Girardot, Cundinamarca, Colombia",4.3082326,-74.7988161,"252437, Dg. 8 #32 85, Girardot, Cundinamarca, Colombia"
TIENDA ARA 0601 VIOTA,GIRARDOT,94421,2019/07/08,ACTIVA,2025/03/20,2025,4.3082326,-74.7988161,"252437, Dg. 8 #32 85, Girardot, Cundinamarca, Colombia",4.3082326,-74.7988161,"252437, Dg. 8 #32 85, Girardot, Cundinamarca, Colombia"
