Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
SUPERMERCADO JUSTO Y BUENO PUERTO BOYACA,LA DORADA,50281,2017/11/22,ACTIVA,2021/02/11,2021,5.975871,-74.5893138,"CR 15 14 13, Puerto Boyacá, Boyacá, Colombia"
SUPERMERCADO JUSTO Y BUENO PUERTO GAITAN MALECON,VILLAVICENCIO,374284,2020/07/24,ACTIVA,2021/03/09,2021,4.315397,-72.0796388,"Cl. 7 # 7 - 02, Puerto Gaitán, Meta, Colombia"
SUPERMERCADO JUSTO Y BUENO PUERTO LIBERTADOR,MONTERIA,176060,2019/11/27,ACTIVA,2021/03/25,2021,7.888142900000001,-75.6712865,"Kilometro 9 # 11 - 45, Puerto Libertador, Córdoba, Colombia"
SUPERMERCADO JUSTO Y BUENO PUERTO LLERAS META,VILLAVICENCIO,382325,2020/11/20,ACTIVA,2021/03/09,2021,3.2696101,-73.37638090000002,"Calle 6B # 3 -53, Puerto Lleras, Meta, Colombia"
SUPERMERCADO JUSTO Y BUENO PUERTO RICO CAQUETA,FLORENCIA PARA EL CAQUETA,115000,2020/06/26,ACTIVA,2021/01/22,2021,1.9098806,-75.1535694,"Cl. 5 # 5 - 74, Puerto Rico, Caquetá, Colombia"
SUPERMERCADO JUSTO Y BUENO PUERTO SALGAR,LA DORADA,53271,2018/12/27,ACTIVA,2021/02/11,2021,5.4642175,-74.6559766,"Cra. 11, Puerto Salgar, Cundinamarca, Colombia"
SUPERMERCADO JUSTO Y BUENO PUERTO TRIUNFO ANTIOQUIA,MAGDALENA MEDIO,68270,2020/02/26,CANCELADA,2021/01/22,2021,5.9002739,-74.7337811,"Calle 23 # 18 - 69, Puerto Triunfo, Antioquia, Colombia"
SUPERMERCADO JUSTO Y BUENO QUEBRADITAS,HUILA,321360,2019/01/16,ACTIVA,2021/03/19,2021,4.694063799999999,-74.0564692,"Cra. 45 #106 - 15, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO QUIRINAL HUILA,HUILA,339134,2020/04/06,ACTIVA,2021/03/26,2021,2.8262875,-75.3280905,"CASA LOTE 131 A, Palermo, Huila, Colombia"
SUPERMERCADO JUSTO Y BUENO RAMIRIQUI,TUNJA,184992,2020/10/07,ACTIVA,2021/03/08,2021,5.401900299999999,-73.3360706,"Cra. 7 # 7 - 38, Ramiriquí, Boyacá, Colombia"
SUPERMERCADO JUSTO Y BUENO RESERVA CAÑAVERAL,BUCARAMANGA,9000443540,2019/09/30,ACTIVA,2021/03/17,2021,7.071381300000001,-73.116354,"Calle 157A # 154 -163, Floridablanca, Santander, Colombia"
SUPERMERCADO JUSTO Y BUENO RESERVAS DEL PORVENIR,BOGOTA,3279903,2020/09/04,ACTIVA,2021/03/19,2021,10.6660405,-71.6137626,"entre Avenidas11 y 12 C. 76, Maracaibo 4002, Zulia, Venezuela"
SUPERMERCADO JUSTO Y BUENO RESTREPO 2,BOGOTA,3197992,2019/12/16,ACTIVA,2021/03/19,2021,4.7569241,-74.06432339999999,"Cl. 170 #N° 64-47, Suba, Bogotá, Cundinamarca, Colombia"
