ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,mujer,edad,nivel_educativo,formal,informal
777,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,57.666668,3.3333333,1.0,2.0
782,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.37142858,45.714287,4.9142857,3.0,29.0
544,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.3809524,39.57143,5.1904764,0.0,16.0
545,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29.0,5.0,0.0,1.0
766,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.4,43.133335,4.5333333,0.0,15.0
543,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.41666666,35.916668,5.5833335,0.0,12.0
775,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
945,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,52.0,3.3333333,0.0,3.0
623,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48.0,7.0,1.0,1.0
768,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27.0,3.0,0.0,1.0
567,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.42857143,42.57143,4.714286,0.0,6.0
568,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.4,44.2,3.8,0.0,5.0
553,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.6666667,37.0,7.0,0.0,2.0
555,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
556,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,44.5,3.5,0.0,1.0
558,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
554,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.3,39.4,4.4,0.0,8.0
560,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5555556,37.0,4.6666665,1.0,7.0
563,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.33333334,50.666668,4.6666665,0.0,3.0
530,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.45454547,42.272728,4.7272725,0.0,11.0
624,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40.0,4.0,0.0,1.0
625,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,54.0,8.0,0.0,2.0
665,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.4,41.2,3.8,0.0,5.0
565,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.41666666,37.416668,5.6666665,0.0,11.0
